,comments,users
384,真的很满意，做工款式都喜欢，就是感觉有点小贵！,a***s
385,皱得比较厉害,夏***7
386,现在穿没效果，减减肥,蓝***红
387,S也觉得大，质量挺好,红***玉
388,版型设计好 爱皱,s***n
389,领子立不起来,l***1
390,穿上有范儿～,b***g
391,很美丽很气质,富***h
392,穿着很好看，质量很好,千***神
393,还可以，太冷了，没法穿,水***儿
394,利落有型，喜欢,l***寻
395,客服很好认真,我***y
396,很好。就是太大。,c***8
397,怎么形容呢，白的正，穿上就感觉让人一亮，特显气质，我对衣衣要求挺高的，第一次上你家买就爱上了，见图片感觉怎么搭都好看，所以我会关注，希望店家能出更多好品质的美衣！,y***8
398,好遗憾黑色没有了，因为收到一看太好看了。颜色洁白面料棉棉的。衣领是我喜欢的立领太有气质了。袖口的珍珠扣很精致。天冷以后再补图吧。很喜欢这家风格随后又买了十几样，,米***3
399,喜欢哎！料子很有质感，棉棉的又很爽滑冷清。就是比较容易皱，但是好看，算了皱就皱吧。xs很肥感觉对谁都够了??,王***5
400,去年就看好这件衬衫了，只是买回来大了，当时退货了，今年还是对他心心念念的，于是又拍了一件小一码的，这下真的非常合适，心里美美的。缺点是爱皱，好像没有去年的料子挺呢。,顽***狸
401,今年这个款大热，到处都出，看了，小虫家虽然贵，也是第一次买，也想试一试是否值。面料好，舒服，不透，但容易皱，但这是很多好的棉面料的缺点，好的牌子都皱，没有办法，领子立起来好看，但不知道洗几次后是否会塌，期待,怡***1
402,剪裁很特别，略微有点透，还没有洗，不知会否褶皱明显，期待天暖时穿上。168/60穿M合适。,小***o
403,"评价方未及时做出评价,系统默认好评!",i***h
404,平时穿m号，这个是宽松款，怕太宽松所以选了s，因为个人不喜欢太肥大的风格，上身效果不错，除了稍微有点透，款式还是不错的。,m***9
405,全新带吊牌，三百包邮车专。,t***8
406,对小个子的瘦子来说确实有点宽大 有范,i***k
407,款式不错，面料也还行，觉得稍贵了些，不过如果与专卖店的产品比，一点不差，且就觉得还便宜了，呵呵,竺***0
408,衬衫质地不错，161，60买的S码，觉得合适，准备下次有黑色买M码试试效果,弹***猫
409,还不错哈，就是偏大。,高***子
410,上身不错很是喜欢,轨***舞
411,这款白我很喜欢，款式。面料我都很满意，希望领子不会变形，感谢小米，五分,读***6
412,做工精细，版型灰常好，领子立起来很有气场，难得是面料还OK,m***g
413,双12没买到   后来无意刷到一件   穿起来没模特那么惊艳   其他家买过白色   洗过不挺了   小虫家不知道如何,j***g
414,"评价方未及时做出评价,系统默认好评!",刘***6
415,料子很喜欢 做工也精细，就是未按约定时间发货 也没有提前给个通知！有点不到位,t***2
416,第一次在这买衣服，三件都很满意，品质可以,w***y
417,衣服超美，质量好，非常显气质，开始觉得很大，试穿后就是想要的感觉！很喜欢,h***伽
418,很喜欢！与其他衫衣式样与材质有很大的不同，连续购买几件虫?衣了,l***1
419,型还是蛮好的 但因为挺括 不太容易搭外套 特别容易皱 适合单穿,d***e
420,版型宽大，有范，可以买小一码,z***x
421,颜色有些偏黄哦，先洗一水，试穿后再评。,葛***5
422,面料款式都好，只是蝙蝠袖不太好抬手。,y***n
423,还可以。 但是不是棉的。 我妈喜欢领子就留下了。,吴***骞
424,好看，又好穿的白衬衫,洛***猪
425,试穿了一下，有点大。挺好看的，质量也挺好,美***月
426,这件确实不错  价位适中  值得拥有，,h***3
427,不错，，是我要的款，可是感觉不是纯棉的，有点硬。,谭***2
428,非常有气质，质量不错。,杨***子
429,一如既往的喜欢?虫家从没让我失望。,洋***1
430,超级合心意的一件衬衫,c***1
431,跟图一样，雪白，稍微有点点硬。,c***c
432,衣服不错，大气,h***7
433,衬衫很漂亮,s***b
434,"评价方未及时做出评价,系统默认好评!",j***5
435,除了贵点，都还好,梦***0
436,"评价方未及时做出评价,系统默认好评!",j***d
437,此用户没有填写评价。,小***y
438,本来拍的白色的，没货了，黑色也非常不错，很喜欢。如果面料是图片上的感觉就更完美了。五星好评,南***6
439,非常棒的一次网购体验，作为实体店的拥趸，很少愿意尝试价格不菲的网购，但这次是觉得款式特别，才尝试一次，穿起来被人赞了好多次，棒棒哒。,一***没
440,上身效果很好，后背显得有些臃肿，感觉面料比以前薄了，有些透。,a***0
441,超爱的衬衫，双十一那天没有小码了，怕最后抢不上就买了中码，虽然上身有一点点大，但还是超爱,t***1
442,很棒，穿上有范儿，尺码合适，面料很舒服，在犹豫要不要再买件黑色的,城***3
443,第二次来小虫家，等着黑色，试穿老公说不错，但似乎大了一些，要明年穿喽,w***o
444,买了同款黑色非常有型于是又入手了白色，独特,c***6
445,一黑一白各一件。衬衣控。效果很赞。虫家的料子真是穿起来很舒服,均***宮
446,之前买了白色的，现在有入手一件黑色的，同样很好。,李***1
447,双十一就拍了这么一件，挺喜欢的，随性慵懒的调调,y***g
448,简洁，大气，是我喜欢的款式，做工也不错，值得购买。,王***0
449,衣服很好休闲时尚非常好,m***1
450,上身效果不错，等搭一条裤子好天再穿吧，,p***9
451,"很漂亮，有气质，160,55kg，合适",l***1
452,黑白都收了，好看时尚,她***盐
453,衬衫很好，有型，大气。,a***b
454,试穿了很好,a***l
455,一直喜欢的店，大小合适,烧***3
456,还行吧，不过有点偏大,1***u
457,很美有范。扣子也很精致。客服态度特别好，少的袖扣也给我补发了,均***宮
458,白色的更好看,l***7
459,没有照片，特别喜欢,y***6
460,非常漂亮,y***语
461,种草很久了，一如既往满意！,c***1
462,型很好，两色都收了,春***3
463,很喜欢，百搭,t***1
464,不错不错，喜欢的,方***6
465,质量很好,w***1
466,很好，喜欢,爱***e
467,上身效果非常好，140斤穿M号竟然还可以，穿着舒服不显胖，腰细的人穿应该更好看。,若***九
468,好评。没有照片上那么挺，每次洗完都要烫一下，黑色百搭，扣子也很出挑。,d***y
469,喜欢了很久，这次果断下手，不负期望，很有范。虽然现在天冷穿不成，囤着心里也舒坦。质量、做工很好。双11第一个收到的。很快。很好。很值。,流***4
470,超级好看，下周就穿去上班,l***7
471,特别好看，经典,s***3
472,好看(??&omega;??)??,x***g
473,非常非常非常满意,c***7
474,给老婆买的，不错,老***了
475,面料舒服,若***九
476,衣服面料看上去还不错　可能比较容易皱，款式好　试穿了一下　总觉得穿不平，前面有些往上翘，后面穿不平整　是不是做工没有做好？,爱***子
477,没有模特的纸片身材，穿起来是另一个感觉，但是自己还是挺喜欢的,飞***子
478,款式不错，面料易皱，从网购来说，价格小贵。,t***3
479,上身很好看，料子舒服，一看就上档次，不是一百二百的料子，是那种我平时买四百多的差不多想买的不用犹豫，只需要看大小，不要拍大了就行,卡***5
480,衬衫等了好久，很好看，料子也好，难怪卖那么好的！只是为嘛给我发申通的，真是垃圾中的***的，投诉也没人处理的！,小***0
481,衣服真的是伤心啊，根据提供的尺寸买了，太大，希望退换货，结果申请是尺寸不符，就拒退，一定要改为其他七天无理由退货，而且让我先撤销，撤销后确关闭了退款退货通道，只有放在家里当教训了,二***高
482,没穿呢，就是心血来潮看见白衬衣想买，不买一件睡不好，买了不穿也安心啦，这是什么心态,s***n
483,衣服上有蓝色笔印记，已联系客服。,h***8
484,电脑出现问题，早付了可是没有成功自己不知道不好意思，衣服很好满意,y***2
485,物流很快，质量超级好，只是我没穿出模特效果。,t***6
486,一般，极易皱,t***8
487,衣服很好看！今天刚到就穿上试了，老公也说好看有范儿，有女人味,r***6
488,质地不值三百多，两百可以,t***8
489,黑白都收了，款式不错,她***盐
490,小虫家的东西从来没有让我失望过。,x***o
491,这衣服为了搭配虫家的黑白格子阔腿裤才买的。本来衣服太多了没打算再买，但其他几件搭配确实不如虫家图片好看大气，这个审美时尚的精准眼光、实在不是随便什么人练练就能提升的。因为怕衣服没有了，没来得及凑上满减的活动，过后看库存足够了。当天也不能申请退款，卖家稀里哗啦倒是很快就都发货了。第二天也来不及退款了&hellip;&hellip;拍了两色各两件,紫***6
492,黑白皆收了,优***惑
493,买了白色，又买的黑色的，好。,w***9
494,衣服真心惊艳，版型超级棒。就是物流选的太差了，同城居然停留了6天。,v***a
495,衣服质量不错，但是客服的服务不能与衣服的质量相媲美，我觉得卖家应该提高售前服务，买家在咨询时，客服应该负责任一些，不要随便说。,努***3
496,不错，就是大衣太大退了,辣***9
497,我穿全是欣贺家宝贝，看到虫窝这款犹豫了几天，最终下手了，收到打开后惊喜啊，虫窝宝贝确实不错，面料也舒服，特别要感谢下客服，有问必答，超级有耐心，老板给客服涨薪哟，第一次写这么长评价，不多说，改天上图。,s***2
498,百搭款~而且显瘦~显瘦~~~不用担心胸口的扣子走光之类的烦恼~衣服的细节也很好~喜欢~,彼***枝
499,好有感觉的一件衬衣哈！喜欢喜欢喜欢！,z***9
500,好看，有气质，娇小的女生也可以驾驭,t***9
501,衣型质量都很好，就是物流慢，等了好多天也值了,裴***9
502,干净利索，我要的菜。,蜗***的
503,好，没有失望。,我***2
504,买给女儿的，超美！,l***3
505,很好的一件衣服,静***儿
506,好评,柠***g
507,衣服很好看 穿着提气质。刚开始拍了M码到手后发现大了，和卖家联系后果断换了XS码(本人161，51KG)。卖家服务态度赞一个！,t***1
508,终于收到我需要的宝贝了，东西很好，价美物廉，谢谢掌柜的！说实在，这是我淘宝购物来让我最满意的一次购物。无论是掌柜的态度还是对物品，我都非常满意的。掌柜态度很专业热情，有问必答，回复也很快，我问了不少问题，他都不觉得烦，都会认真回答我，这点我向掌柜表示由衷的敬意，这样的好掌柜可不多。再说宝贝，正是我需要的，收到的时候包装完整，打开后让我惊喜的是，宝贝比我想象中的还要好！不得不得竖起大拇指。下次需要的时候我还会再来的，到时候麻烦掌柜给个优惠哦！,时***9
509,看着一般，穿上惊艳，越看越喜欢。配我的牛仔裤和牛仔裙超漂亮。就是这家店的衣服有点偏贵。希望价格能够再亲民一些。,香***1
510,宝贝收到了，我超喜欢，做工质地都好得没话说，呵呵，服务态度也超好， 很有心的店家，以后常光顾 ，发货很快。商品质量好而价低廉，我太感谢你了！！哈哈，不谦虚了，想看更多，就来吧，已经收藏了店铺哦，下次再来!!!!为了涨淘气值，我也是拼了！,w***i
511,质量特别好！样子漂亮，就是价位有点好！不过很满意，号稍微偏大，跟宽松！,海***克
512,简洁大方，正好适合现在穿，不过折真挺多，对于这个价位有些贵啦小虫家的鞋子和简洁大方，正好适合现在穿，不过折真挺多，对于这个价位有些贵啦小虫家的鞋子和裤子很合体，上衣买过两次啦，还没有特别中意的。裤子很合体，上衣买过两次啦，还没有特别中意的。,f***2
